userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
a0c1b5a9552e4c3b92e5440cd8362ee7,0,1,1,1047,59833,16347,13403
a0c1b5a9552e4c3b92e5440cd8362ee7,0,1,2,1047,59833,15277,13403
a0c1b5a9552e4c3b92e5440cd8362ee7,0,2,3,1047,59833,9099,10898
a0c1b5a9552e4c3b92e5440cd8362ee7,0,2,4,1047,59833,21025,10898
a0c1b5a9552e4c3b92e5440cd8362ee7,0,3,5,1047,59833,6910,11537
a0c1b5a9552e4c3b92e5440cd8362ee7,0,3,6,1047,59833,15157,11537
a0c1b5a9552e4c3b92e5440cd8362ee7,0,4,7,1047,59833,11528,10777
a0c1b5a9552e4c3b92e5440cd8362ee7,0,4,8,1047,59833,9132,10777
a0c1b5a9552e4c3b92e5440cd8362ee7,0,5,9,1047,59833,7296,11594
a0c1b5a9552e4c3b92e5440cd8362ee7,0,5,10,1047,59833,6816,11594
a0c1b5a9552e4c3b92e5440cd8362ee7,0,6,11,1047,59833,8832,11047
a0c1b5a9552e4c3b92e5440cd8362ee7,0,6,12,1047,59833,11000,11047
e11fd51ee4cf4f90a090138d0daa26c5,0,1,1,7030,27350,25186,15483
e11fd51ee4cf4f90a090138d0daa26c5,0,1,2,7030,27350,19275,15483
e11fd51ee4cf4f90a090138d0daa26c5,0,2,3,7030,27350,17450,15703
e11fd51ee4cf4f90a090138d0daa26c5,0,2,4,7030,27350,25863,15703
e11fd51ee4cf4f90a090138d0daa26c5,0,3,5,7030,27350,18191,10768
e11fd51ee4cf4f90a090138d0daa26c5,0,3,6,7030,27350,20743,10768
e11fd51ee4cf4f90a090138d0daa26c5,0,4,7,7030,27350,18409,11657
e11fd51ee4cf4f90a090138d0daa26c5,0,4,8,7030,27350,15146,11657
e11fd51ee4cf4f90a090138d0daa26c5,0,5,9,7030,27350,16139,11024
e11fd51ee4cf4f90a090138d0daa26c5,0,5,10,7030,27350,19213,11024
e11fd51ee4cf4f90a090138d0daa26c5,0,6,11,7030,27350,21143,11497
e11fd51ee4cf4f90a090138d0daa26c5,0,6,12,7030,27350,19760,11497
67902ecb09454c9fa106f613aeb00e3b,1,1,1,14686,42126,20761,28624
67902ecb09454c9fa106f613aeb00e3b,1,1,2,14686,42126,10747,28624
67902ecb09454c9fa106f613aeb00e3b,1,2,3,14686,42126,9917,25057
67902ecb09454c9fa106f613aeb00e3b,1,2,4,14686,42126,14874,25057
